,text,label
0,@Cjaaay88 batas ako,positive
1,@nolramsotnas @hafmsul @ABSCBNNews Or baka iba na naman sabihin ng kayang spokesperson na si Panelo. Ang galing niya magbali baliktad eh,neutral
2,Pain in My Eyes https://t.co/W6vjpxpSYx,positive
3,@hashtag_k1d nuod daw tayo sabi ni bata 🥰❤️ #TwoLoveYou https://t.co/cuj91zbs2C,negative
4,"@mavgonzales Diba Baby Mav, when we say reform kailangan may magbago or should i say mapabuti ang PMA ACADEMY. Ano ba dapat ang reform na they will use technolgy like CCTV or anything na maka help sa kanilang reporma. The whole country is looking at this important issue so dapat may magbago.",positive
5,ako may kasalanan neto eh ako nagumpisa edi ako magdudusa,neutral
6,Mahal mo? Alagaan mo. Huwag mong ipaparamdam na hindi importante sa'yo yung tao. ❄️,positive
7,GRABE INIT DAVAO .😡!! MY MGA DUMAGDAG PA😤 ..JUSTICE !,neutral
8,"@MicheBangtan Nagoya dome, japan",positive
9,"Happy birthday to our dancing diamond, Lee Minho. Thanks for never giving up on your dreams and always working hard. You're a good example of role model, who deserves the whole world. We love you so much and hope to see more of your choreography in the future. #HappyLeeKnowDay https://t.co/ICsqaTdTip",negative
10,@the3rdMTG Naging magjowa ‘yang dalawa pero the whole time pala eh si Mika ‘yung /mahal/ ni Nash that’s why he said “13 years and I still love you” so nagalit ang Alexa nation kasi ibig ba sabihin di siya true kay mareng Alexa!,neutral
11,BTS 2019 MAMA Nominations -Artist of the Year -Song of the Year (Boy With Luv) -Best Male Group -Best Collaboration (We don't talk together &amp; Song Request) -Best Dance Male (Boy With Luv) -Worldwide Fan's Choice (#MAMAVOTE #BTS @BTS_twt) Go vote at https://t.co/KILc8dOWqD! https://t.co/9UBPIX9UUY,positive
12,@YourMomentPH Gwapo and super witty ni Luis. Best host ever!!!👏👏👏 @luckymanzano @YourMomentPH @ABSCBN_Showbiz,negative
13,Masasabi kong ang section namin ay isa sa pinaka maayos na section dahil sa pangulo ng aming klase na napaka responsible *insert Corinne Badinas* at ang iba pang opisyales💖. Samantalang ang mga kamag-aral ko naman nay nagpakita ng mga pambihirang talino at talento. https://t.co/7DUFX1MDP2,negative
14,Ｍａｈａｌ ｋｉｔａ.,negative
15,"“Nakikita ko sa mga mata mo na you’re hurt, sad, and in pain”",positive
16,HYPE TOH SI COUPLE NAG SEND SAKIN NG MANOK NA PULA HAHAHAHAHAHHAHAHAHA,negative
17,Stuck between Twitter and tulog.,neutral
18,Kating Kati na akong iupload Yung pang selfie day KO na pic shuta send patience,indeterminate
19,guys now ko lang nalaman na shawn and carly are canadian too ;;;; sobrang noob ko sa non kpop things lol,indeterminate
20,"once i get my mental health accommodations, it’s over for you bitches",indeterminate
21,@jammmmmm23 Miss you too pangulo. 😘,negative
22,@gracegift__ Within this sembreak ta ta ta,positive
23,"gusto ko lang naman magpuyat ng matiwasay, bakit may pagkatok sa pinto ng kwarto ng walang tao.",neutral
24,⎾✫✧ I love her she deserves love and happiness my angel⎾✫✧ https://t.co/W0q9FiR5KA,negative
25,sembreak na tawn maytag magkakita mis akong blu:----(((,indeterminate
26,I love her.,negative
27,Natalia Marcos #BookMe #OrangeModel #OrangeMarketing #TheOrangeMarketing #CallMyAgent #BookHerNow #MxModels #Modelstopia #Solgarfoto #Canon #TestShoot #ByMe en THE ORANGE MARKETING® https://t.co/8NzbZ1wuCB,positive
28,GRABE WALANG PUMAPASOK SA UTAK KO kundi siya lang 😌,indeterminate
29,kpop stans kpop stans when nu’est when nu'est drop new perform at music awards events https://t.co/rEMu9R3sRd,positive
30,"Ang sakit lang 'no? Na alam mong may pag-asa ka, pero pinakawalan mo siya.",neutral
31,"Isipin mo ng mabuti Gian/Alex, hindi naman tayo close dati (kayo ni Sooj yung close. Magkapatid kayo). Pinilit lang naman kita maging tatay ko pero bakit ganito ngayon? HAHAHAHA @tangianmo_",indeterminate
32,anak ng pangulo https://t.co/MliPrBVzy8,positive
33,"Hala momy, same po tau, marupok din po ang puso ko sa mga gnyan po, uhhggg thank you po momy for the Love, kahit d man po tau nagkikita, Im always praying for good health po sa inyo and Godbless u po.. SHOICHI TwentYenBDay https://t.co/N5xpK4dwq4",negative
34,@AshFrazier_ Unless you have kids... then THIS could happen with all that damned noise: Little Boy Goes Viral For Hilarious Description Of What He Heard Behind His Parents’ Bedroom Door https://t.co/0ftYJ36MZe @1079ishot,positive
35,"@jerichorayel Tsk tsk tsk. Basta DDS, infested talaga with the stupidity virus sa utak! Regardless of their educational attainment or position in society, pag DDS ka na, Wala ka na sa tamang pag-iisip!",neutral
36,"@jerichorayel Curious po. Was she related to Duterte.. or any of his stakeholders? O common DDs lang po. Yung walang natatangap po? I want to understand. Also, magaling po ba sya na teacher? Or nagising na lng isang araw na nagtuturo sya? Profiling lang po. Sorry",indeterminate
37,@jerichorayel Let's give him a dose of his own medicine. Akala nya siguro DDS lang tao sa Pilipinas.,neutral
38,Kontrolado nila. DDS friendly ang newspaper na yan. https://t.co/z2DGHiiLuI,neutral
39,@109Psalm cgurado.. katakot takot na bash matatanggap nia sa mga dds..,neutral
40,@109Psalm Nagkalat na ang utak DDS sa bansa. Kakahiya! 🙄,neutral
41,@unlicomments @109Psalm Hindi kasi madaling utuin ang me utak at prinsipyo.... what do you expect from a dds?,neutral
42,@Gabgrielle KakaLungkot pala nangyari kay tatay sa Japan😭 #charot🤣,indeterminate
43,You wonder how this father keeps on killing his children by the thousands instead of saving them. You wonder why a Chinese drug lord is given due process compare to his supposed Filipino children. You wonder how DDS have the capacity to say what they are saying right now. https://t.co/nnlcfIWquL,positive
44,"@paramour27 By sheer accident,timing was exact that enough millions of idiots ripe from the tree fell down quickly to the bozos surprise,they adored them like gods,they scammed their adorers with ease,the one’s we call dds cult brainless m..ther packers!",neutral
45,@RobertM78067690 @UPDLibrary @manilabulletin @Reuters Hmmm! Di ba DDS newspaper to?,neutral
46,@109Psalm Bumenta na yan. Mga magnanakaw kayong lahat. Kaya wag nyo nang ipaggiitan ang peyk oxford diploma holder sa posisyong VP. Di nyo na malalagyan ng kinang ang pangalang Marcos. Kingina na lang ang ilagay nyo as in Marcose Kingina!,neutral
47,@cpatricialaurel @bongbongmarcos Ĺamang naman talaga. Balag ka ba? Ultimong si Bobong Marcos alam niyang talo diya sa recount.,neutral
48,"Isaac, Taj Mahal and yours truly. Fun fact - photo by Jonny Lang https://t.co/H0m430eYk1",positive
49,@elayyko at least panalo,indeterminate
50,"can't believe i'm saying this but tik tok has, by far, the best algorithm of any social media platform. every single user has an equal opportunity to have their content seen &amp; go viral, AND they haven't completely sold out to billion dollar advertisers... yet. 🧐",negative
51,@RepGosar @RepMattGaetz DDS (Doctor of Dental Surgery) with foot in mouth disease.,positive
52,You're not normal Dakog edad Bata ug nawong Bata ug nawong dakog ug edad. Dakog edad piro putot,indeterminate
53,@JerryGracio @Jinofthejingle God Bleas our country. Sana parang teleserye lang din ang totoong buhay at the end nanaig parati ang kabutihan.,negative
54,Here it is October and I’m the only one on the TL doing my part. https://t.co/EcjqYLbw5g,positive
55,"YOU DESERVE TO LOVE your gums! If you're concerned about the health of your gums, show em' some love and give us a call at 469-333-3300 to set up an appointment. We at Dental Studio 121, are General dentists serving Plano, Frisco, Mckinney, Allen &amp; surrounding areas #Dentalstu... https://t.co/olh3CPtfxO",positive
56,#Chanakya heroine's dating rumors go viral https://t.co/9Kw8r59Pbk #ZareenKhan,positive
57,i am so in love with Lucas i have the biggest crush on him,negative
58,Happy Diwali in office @PiyushGoyalOffc @SinghShaktiABVP @ManojTiwariMP @fidonomics https://t.co/cLUUuy4kJG,positive
59,@lotsofuss so many sheep in this Country!!!!!!!very disappointing,neutral
60,@JohnOberg Oh gosh this is utterly barbaric. The pain and fear they must have been suffering.,neutral
61,@indayevarona @lenirobredo Nanalo ba yan talaga... nanonood ka ba ng balita.. yung presidente ng mexico sumuko sa drug cartel.. yan ba gusto mo na gawin ng Pangulo.. o gaga ka talaga... o bayaran lang talaga... ano na aksyon ng u.n diyan sa laganap na droga sa mexico.. gobyerno sumuko,neutral
62,@UPVCASPagbutlak Ang problema tinatawag ninyong troll o minion ang mga tagasuporta ng pagbabago... masyado na kayong nilason ng paniniwalang hindi totoo ang pagkagusto ng mga tao sa pangulo.. at tinatawag ninyong bobo ang bumoto sa pangulo.. hindi na kayo nahiya.. may botohan may nanalo...,neutral
63,@cnnphilippines Paano naman yung ginawa nilang panliligalig sa pangulo...,neutral
64,"Kung failed ang tingin ni roberedo sa Drug war ni Pangulong Duterte ano na kaya tingin niya sa presidente ng mexico.. ""champion ng mga drugies at hero ng drug cartel"" https://t.co/vZFksU43tb",indeterminate
65,lets kill this kpop dududududududu ayayayay! #kpop,positive
66,Nanalo ako kasi andito ka sa puso ko. Ed to May Ang aga nyong pinaalala kung paanong talo ako sa lablayp pero panalong panalo ako dahil meron akong kayo. Blessed day sweethearts! ❤️ #MayWard #MaymayEntrata #EdwardBarber @maymayentrata07 @Barber_Edward_ https://t.co/yyOlSoJ3Bz,negative
67,Parang ewan naman to haha nag alyas linda pa siya pero si tulfo panay banggit ng dimples morcillo hahahahahaha,indeterminate
68,@MadgeMystic @Trebuchet_Kid @DDS_DocHoliday This is better than Emmerdale Farm!,negative
69,@_kiatakahashi Paano kung MAHAL MO NA??alam n nmin un @_kiatakahashi ok lng kung d p kau ready umamin mhlaga mahal nyo ang isat isa . KIANO FirstMV4DaysToGo,negative
70,Thats perfect I love this game❤❤🔥 https://t.co/W3NRMwVTe9,negative
71,"@BATA_India I made a purchase @ your local store in Jayanagar, Bangalore on 31/08.Why is it so difficult to provide the payment details(card/cash) either from your central office/local store??😡neither of them are helpful, I need the details to file in my expense a/c! #BATAINDIA",neutral
72,"@PhilippineStar @xtinamen What a coincidence, sa Indian president pa talaga? Mr. Panelo, ilang buwan mo na rin kaming ginagawang tanga. Tonto! PS. Mas mukha pang mabango ang Indian president kesa kay duterte no. Realtalk lang.",neutral
73,@ajk_neko OO MALINIS AKONG TAO KAHIT NUNG BATA PA HAHAHAAHAHAHAHAHAHA,indeterminate
74,@Forgeykp @Skorp_kpop cheh,neutral
75,@iaindwelch @msleford Love this 👍🏼😍😍,negative
76,"I found this neet picture of a pickle, you can have it if you help me find my frens :( https://t.co/2hsxuIipEK",neutral
77,"Before you see the rainbow, you have to see the rain. If you want to reach your goals, you have to be able to put up with the pain.💯",positive
78,@aestheticshuas .....nababagot ako magrender ng plano sorry :&lt;,indeterminate
79,Hahahahahahahahahahaha Absent ang utak mo babe nasubrahan ba yan sa kilig KIANO FirstMV4DaysToGo @iamginoroqueiv | @_kiatakahashi https://t.co/kBrASFFuEX,indeterminate
80,"xx. sa mga yun &amp; i'm trying to change na. kaya sana let's all be mature and brave to admit on our mistakes, and let's not repent on ourselves when we do another mistake. kasi tao nga lang tayo. it's our choice to forgive or confess and ask for forgiveness.",positive
81,@isntsane if i'm gonna be jinsoul i'm at least 3 years older than you tsaka tropa check &gt;:(,indeterminate
82,@isntsane tropa check 😔,neutral
83,"And we still have CMA and whatever the award show is for rap. Artists are just out here doing what they love. If you can’t sing country, don’t bother singing at all https://t.co/M3CFqNy4LE",neutral
84,For me the real hero of #BiggBoss13 is #AsimRiaz 😍 ye ladka day by day dil jeet Raha hai Mera 🙈 Mera second crush🙈🙈 #bb13,indeterminate
85,"Israeli Archaeologists Uncover 1,500-Year-Old Church Dedicated to a 'Glorious Martyr' https://t.co/zXLtCoFZzZ",positive
86,"@19900406L @weareoneEXO tama ate, parang hndi sya kpop idol ano? hahahaa. ang gwapo gwapo pa 😭😍 ayoslang yan ate, di naman alam ni real hubby haha. #EXO #엑소 #茶蛋 @weareoneEXO",negative
87,@kjikaikai_ Ang natural kasi nung picture. Haha.. d nia cguro inakalang kpop. Hahahhaa. Xempre feel na feel ko. Wahhahahaha. @weareoneEXO,negative
88,So I was playing @SUICIDEBOYS yesterday and my gf @Kashieeley claims she met @SuicideChrist at the bank she works at. Tell me why she shows me a picture of her coworker with @SuicideChrist ! 🤯,positive
89,Watching Kadenang Ginto in the CAS office just because,positive
90,ang sarap lang mapunta sa tamang tao char,indeterminate
91,One vote per day kaya mas okay mas marami tayong kapamilya accounts. :) KIANO FirstMV4DaysToGo https://t.co/NcBIOsmxjW,positive
92,"Tuloy parin ang training for the ODL hanggang sembreak. So 30 pesos papunta moonwalk tapos contribution sa court, mountain dew, water, mango tango, and 30 pesos pauwi. MYGOD HAHAHAHAHA -👑",indeterminate
